"CODIGO"	"NOMBRE"	"EMBALSE"	"X"	"Y"	"DEMARC"	"CAUCE"	"GOOGLE"	"OPENSTREETMAP"	"WIKIDATA"	"PROVINCIA"	"CCAA"	"TIPO"	"COTA_CORON"	"ALT_CIMIEN"	"INFORME"
3450012	"ROSARITO"	"Rosarito Reservoir"	40,083403864	-5,30254088699996	"TAJO"	"ARROYO DEL MOJÓN"	"https://www.google.com/search?kgmid=/g/1hl3g_mwq"	""	"https://www.wikidata.org/wiki/Q10929672"	"Toledo"	"Castilla - La Mancha"	"Presa de materiales sueltos homogénea"	308,8	4,07	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=868"
3450030	"AZUTAN"	"Azután Reservoir"	39,7779346240001	-5,08911715899995	"TAJO"	"RÍO TAJO"	""	""	"https://www.wikidata.org/wiki/Q81418400"	"Toledo"	"Castilla - La Mancha"	"Presa de fábrica de contrafuertes"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=885"
6290035	"CONDE DE GUADALHORCE"	"CONDE DE GUADALHORCE"	36,9333016160001	-4,80374890499996	"CUENCAS MEDITERRANEAS ANDALUZAS"	"RÍO TURÓN"	""	""	""	"Málaga"	"Andalucía"	"Presa de fábrica de mampostería"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1988"
9500008	"TRANQUERA, LA"	"Reservoir of La Tranquera"	41,262569371	-1,79716175699997	"EBRO"	"RIO PIEDRA"	"https://www.google.com/search?kgmid=/g/122v8m7x"	""	"https://www.wikidata.org/wiki/Q5830513"	"Zaragoza"	"Aragón"	"Presa de fábrica de gravedad (hormigón vibrado)"	687,5	80,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2821"
9250050	"OLIANA"	"Oliana Reservoir"	42,092702178	1,29406967700004	"EBRO"	"RIU SEGRE"	"https://www.google.com/search?kgmid=/g/1215jgc5"	""	"https://www.wikidata.org/wiki/Q18005390"	"Lleida"	"Cataluña"	"Presa de fábrica de gravedad (hormigón vibrado)"	520,039999999999	102	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2594"
9220017	"BARASONA"	"Barasona reservoir"	42,124230776	0,311147826000024	"EBRO"	"RÍO ÉSERA"	"https://www.google.com/search?kgmid=/g/11cn63j7jr"	""	"https://www.wikidata.org/wiki/Q24003136"	"Huesca"	"Aragón"	"Presa de fábrica de gravedad (hormigón vibrado)"	448,99	65,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2434"
1320033	"SALAS"	"SALAS"	41,9246563240001	-7,94313212699996	"MIÑO-SIL"	"RÍO SALAS"	""	""	""	"Ourense"	"Galicia"	"Presa de fábrica de contrafuertes"	835,5	50	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=118"
6110005	"GUADARRANQUE"	"Guadarranque Reservoir"	36,3087665890001	-5,46145982799993	"CUENCAS MEDITERRANEAS ANDALUZAS"	"RÍO GUADARRANQUE"	""	""	"https://www.wikidata.org/wiki/Q5369445"	"Cádiz"	"Andalucía"	"Presa de materiales sueltos zonificada o de núcleo"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1942"
3100091	"BORBOLLON"	"BORBOLLON"	40,1253008750001	-6,57693620899994	"TAJO"	"RÍO ARRAGO"	""	""	""	"Cáceres"	"Extremadura"	"Presa de fábrica de gravedad (hormigón vibrado)"	315,05	35	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=625"
3100196	"BORBOLLON"	"BORBOLLON"	40,132771828	-6,58570755499994	"TAJO"	"ARROYO DEL CAMPANILLO"	""	""	""	"Cáceres"	"Extremadura"	"Presa de fábrica de gravedad (hormigón vibrado)"	315,05	6,3	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=726"
